"id_entidad","nombre","direccion","telefono","email","consecutivo","organismo","cuenta_bancaria","tipo_entidad","codigo_reo","codigo_nit","createdAt","updatedAt"
29,"Empresa Cubana del Pan","Calle Bartolome maso # 255","11111111",NULL,"111-0-11989",NULL,"1252321053910011","Estatal","","","2025-10-09 13:13:36.5-04","2025-10-09 13:13:36.5-04"
30,"Direción Prov.Justicia SS","Martí # 52 Sur Sancti Spíritus","11111111",NULL,"317-1-11033",NULL,"0652442091140016","Estatal","","","2025-10-09 13:13:36.519-04","2025-10-09 13:13:36.519-04"
31,"PSM CTC Provincial S.S","Máximo Gomez #175 Sancti Spíritus","11111111",NULL,"**************",NULL,"0651321034100014","Estatal","","","2025-10-09 13:13:36.536-04","2025-10-09 13:13:36.536-04"
32,"Oficina del Conservador S.S","Céspedes #8 Norte, Sancti Spíritus","11111111",NULL,"317-1-14755",NULL,"0651341034520019","Estatal","","","2025-10-09 13:13:36.548-04","2025-10-09 13:13:36.548-04"
33,"Emp Comercializadora de la Música","Ballamo #93 S.S","11111111",NULL,"317-80-81",NULL,"0652421165650025","Estatal","","","2025-10-09 13:13:36.57-04","2025-10-09 13:13:36.57-04"
34,"Empresa Municipal de Servicios Comunales","Máximo Gómez #103 S.S","11111111",NULL,"03000718598",NULL,"0652421434230014","Estatal","","","2025-10-09 13:13:36.579-04","2025-10-09 13:13:36.579-04"
35,"Empresa Municipal de Gastronomicos","Maximo Gomez #4 Sur","11111111",NULL,"317-2-12053",NULL,"0652421088080010","Estatal","","","2025-10-09 13:13:36.591-04","2025-10-09 13:13:36.591-04"
36,"Empresa Carnica Sancti Síritus","Bartolome Masso #255 S.S","11111111",NULL,"111-0-01588",NULL,"0652421087800017","Estatal","","","2025-10-09 13:13:36.602-04","2025-10-09 13:13:36.602-04"
37,"UJC Comité Provincial","Bartolomé Masó #252","11111111",NULL,"502-08-9507",NULL,"0652421088920018","Estatal","","","2025-10-09 13:13:36.61-04","2025-10-09 13:13:36.61-04"
38,"UEB Paraiso Infantil","Independencia # 16","11111111",NULL,"317-2-05938",NULL,"0652421365020019","Estatal","","","2025-10-09 13:13:36.617-04","2025-10-09 13:13:36.617-04"
39,"UEB #2 Obras de Ingeniería","Chambelon Km 381","11111111",NULL,"126012351",NULL,"0652421434030012","Estatal","","","2025-10-09 13:13:36.627-04","2025-10-09 13:13:36.627-04"
40,"EEF UEB Ferrocarriles S.S.","Ferrocarriles Colón","11111111",NULL,"151-014295",NULL,"065242216563001","Estatal","","","2025-10-09 13:13:36.641-04","2025-10-09 13:13:36.641-04"
41,"Unidad Presupuestada No 2","Calle Lepanto No 2 entre Ave Mártires y Tello Sánc","11111111",NULL,"317-1-15301",NULL,"0652441434170014","Estatal","","","2025-10-09 13:13:36.659-04","2025-10-09 13:13:36.659-04"
42,"EMI Francisco Aguiar Rodríguez","Carretera Central Km 385","11111111",NULL,"271-0-02205",NULL,"0652421087900018","Estatal","","","2025-10-09 13:13:36.669-04","2025-10-09 13:13:36.669-04"
43,"UBB Complejo Gastronomico Mar y Cielo","Carlos Rolof","11111111",NULL,"317-2-12013",NULL,"0652-4213-6474-0012","Estatal","","","2025-10-09 13:14:59.273-04","2025-10-09 13:14:59.273-04"
44,"Empresa de Aseguramiento y Servicios UBB SS","Carretera del Jíbaro ilometro 2 1-2","11111111",NULL,"1310-2245",NULL,"1252-0210-8302-0016","Estatal","","","2025-10-09 13:15:46.816-04","2025-10-09 13:15:46.816-04"
45,"UNISS José Martí Pérez","Comandante Fajardo S.N","11111111",NULL,"11000722797",NULL,"0652-4420-8843-0012","Estatal","","","2025-10-09 13:16:29.039-04","2025-10-09 13:16:29.039-04"
46,"Hospital provincial de Rehabilitación","Carretera Zaza quilometro 1.2 Sancti Spírits","11111111",NULL,"317-1-12870",NULL,"0652-4420-8847-0010","Estatal","","","2025-10-09 13:17:08.34-04","2025-10-09 13:17:08.34-04"
47,"Empresa de Productos Lácteos Rio Zaza","Carretera de Zaza km 1 1.2","11111111",NULL,"14-0-01606",NULL,"1252-2221-8345-0011","Estatal","","","2025-10-09 13:17:56.163-04","2025-10-09 13:17:56.163-04"
48,"Organismo Político","Carretera Central","11111111",NULL,"272-0-9466",NULL,"0652-5411-4684-0013","Estatal","","","2025-10-09 13:18:28.469-04","2025-10-09 13:18:28.469-04"
49,"UPR Poder Popular Municipal Cabaiguan","Dionisio Rodriguez #495","11111111",NULL,"317-2-00444",NULL,"0651-0421-2402-0012","Estatal","","","2025-10-09 13:19:13.402-04","2025-10-09 13:19:13.402-04"
50,"Empresa Municipal Comercio","Isabel María de Mantilla y Julio Antonio Mella","11111111",NULL,"317-2-05939",NULL,"0652-4210-8791-0010","Estatal","","","2025-10-09 13:20:12.706-04","2025-10-09 13:20:12.706-04"
51,"Asiciación Nac de Agricultores Pescadores","Carretera Central","11111111",NULL,"00507",NULL,"0652-4210-8721-1013","Estatal","","","2025-10-09 13:20:40.694-04","2025-10-09 13:20:40.694-04"
52,"UEB Sur Comercio","Desconocida","11111111",NULL,NULL,NULL,"0000-0000-0000-0000","Estatal","","","2025-10-09 13:21:22.806-04","2025-10-09 13:21:22.806-04"
53,"EES Empresa Contructora de vias Férreas","Carretera Tuinicu Km 1 1.2","11111111",NULL,"151-0-026-46",NULL,"0650-4210-5706-0015","Estatal","","","2025-10-09 13:21:57.458-04","2025-10-09 13:21:57.458-04"
54,"Empresa Provincial de Produción de Materiales","este Número 3","11111111",NULL,"317-1-02185",NULL,"0652-4210-8803-0011","Estatal","","","2025-10-09 13:22:39.049-04","2025-10-09 13:22:39.049-04"
55,"Dirección Municipal de Cultura","Sobral","11111111",NULL,"000",NULL,"1111-1111-1111-1111","Estatal","","","2025-10-09 13:23:02.712-04","2025-10-09 13:23:02.712-04"
